id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
743,743,萬華區,房地(土地+建物),臺北市萬華區艋舺大道421~450號,13.76,商,1060423,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680410,76.78,2,2,1,有,無,8450000,110055,,0,0,含增建或未登記建物。
744,744,萬華區,房地(土地+建物),臺北市萬華區萬大路493巷48弄31~60號,28.53,住,1060411,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721024,96,3,2,1,有,無,11280000,117500,,0,0,含增建或未登記建物。
745,745,萬華區,房地(土地+建物),臺北市萬華區西園路二段254巷1~30號,28.49,商,1060404,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750224,102.74,3,2,2,有,無,12500000,121666,,0,0,含部分陽台外推。
746,746,大同區,房地(土地+建物),臺北市大同區承德路一段31~60號,13.82,商,1060321,土地1建物1車位0,七層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,781109,165.51,0,0,1,無,有,26787000,161845,,0,0,
747,747,萬華區,建物,臺北市萬華區洛陽街31~60號,0,,1060418,土地0建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,880629,63.94,2,1,1,有,有,5750000,89928,,0,0,
749,749,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.54,商,1060426,土地1建物1車位1,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,95.98,2,2,1,有,有,1.60E+07,184507,坡道機械,16.85,1400000,
750,750,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.61,商,1060426,土地1建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,111.57,2,2,1,有,有,1.80E+07,200334,坡道平面,33.7,2400000,
751,751,萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,5.24,商,1060331,土地1建物1車位0,五層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,77.87,2,2,1,有,有,14700000,188776,,0,0,
752,752,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,3.9,商,1060426,土地1建物1車位1,二十一層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,85.83,1,1,1,有,有,13270000,216190,坡道平面,33.7,2000000,
753,753,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段191巷1~30號,120.78,住,1060304,土地1建物1車位2,一層，二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980120,294.99,5,2,3,有,無,60880000,206380,坡道機械,26.14,0,含增建或未登記建物。
754,754,內湖區,房地(土地+建物),臺北市內湖區內湖路一段737巷51弄1~30號,34.11,住,1060326,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671219,93.35,3,2,2,有,無,11750000,125870,,0,0,含增建或未登記建物。
755,755,內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路316巷31~60號,35.01,工,1060505,土地1建物1車位2,九層,十一層,廠辦,見其他登記事項,見其他登記事項,960215,257.36,3,2,0,有,有,3.60E+07,139882,坡道機械,29.8,0,
756,756,中山區,房地(土地+建物),臺北市中山區建國北路一段121~150號,3.97,住,1060402,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,990318,31.07,1,1,1,有,有,8250000,265529,,0,0,含增建或未登記建物。
757,757,中山區,房地(土地+建物)+車位,臺北市中山區明水路672巷1~30號,15.4,商,1060422,土地1建物1車位1,四層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,941201,66.85,1,1,1,有,有,13020000,194764,坡道機械,22.57,0,含增建或未登記建物。
758,758,中山區,房地(土地+建物),臺北市中山區民生東路二段61~90號,23.46,商,1060418,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690314,126.14,2,2,2,有,有,17820000,141272,,0,0,
759,759,內湖區,房地(土地+建物),臺北市內湖區南京東路六段331~360號,13.21,工,1060415,土地1建物1車位0,二層,十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,970407,80.18,2,2,1,有,有,11500000,143427,,0,0,含增建或未登記建物。
761,761,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段211~240號,52.86,住,1060228,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990602,200.46,3,2,2,有,有,2.90E+07,158511,坡道平面,26.97,1500000,共有人數2人。含增建或未登記建物。
762,762,中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段65巷1~30號,22.07,商,1060405,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030703,112.31,2,1,1,有,有,22300000,210386,坡道機械,14.87,1800000,
763,763,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,21.66,商,1030227,土地2建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,260.33,3,2,2,有,有,9.20E+07,409945,坡道平面,42.74,2800000,預售屋車位含土地價款1960000 建物價款840000
764,764,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,26,商,1030122,土地2建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,339.44,3,2,3,有,有,109420000,401717,坡道平面,85.48,7400000,預售屋車位含土地價款5180000  建物價款2220000
765,765,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,25.18,商,1030120,土地2建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,331.34,3,2,3,有,有,1.18E+08,453103,坡道平面,85.48,6600000,預售屋車位含土地價款4620000  建物價款1980000
766,766,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,24.82,商,1030221,土地2建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,339.44,3,2,3,有,有,115900000,430383,坡道平面,85.48,6600000,預售屋車位含土地價款4620000  建物價款1980000
767,767,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,21.07,商,1030221,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,260.33,3,2,3,有,有,94100000,419596,坡道平面,42.74,2800000,預售屋車位含土地價款1960000  建物價款840000
768,768,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,26,商,1030120,土地2建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,339.44,3,2,3,有,有,89280000,325563,坡道平面,85.48,6600000,預售屋車位含土地價款4620000  建物價款1980000
769,769,中山區,房地(土地+建物)+車位,臺北市中山區松江路31~60號,26,商,1030120,土地2建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,339.44,3,2,3,有,有,90720000,331233,坡道平面,85.48,6600000,預售屋車位含土地價款4620000  建物價款1980000
